TimeDeath     ID      Tj      Df      Dd      Db
639     2946     377     69     193     262     AD
641     2963     381     71     189     260     AD
643     2831     326     0     317     317     AD
644     2835     330     0     314     314     AD
645     2846     333     227     85     312     AD
647     2545     224     33     390     423     AD
648     2356     148     74     426     500     AD
651     2745     299     53     299     352     AD
652     2758     308     116     228     344     AD
653     2904     367     124     162     286     AD
655     2955     379     71     205     276     AD
656     2443     183     27     446     473     AD
656     2390     159     49     448     497     AD
657     2973     385     0     272     272     AD
659     2980     387     73     199     272     AD
659     2828     326     60     273     333     AD
660     2711     287     0     373     373     AD
661     2721     293     110     258     368     AD
663     2733     297     111     255     366     AD
664     2624     262     39     363     402     AD
664     2856     348     61     255     316     AD
665     2753     308     52     305     357     AD
667     2664     273     38     356     394     AD
667     2913     370     65     232     297     AD
668     2682     276     42     350     392     AD
669     2829     326     227     116     343     AD
669     2807     320     0     349     349     AD
671     2497     210     31     430     461     AD
671     2605     245     42     384     426     AD
673     2713     290     107     276     383     AD
673     2857     348     177     148     325     AD
674     2631     262     0     412     412     AD
674     2734     297     51     326     377     AD
675     2881     359     64     252     316     AD
676     2645     268     218     190     408     AD
676     2376     156     47     473     520     AD
677     2970     385     72     220     292     AD
679     2613     250     88     341     429     AD
680     2925     374     123     183     306     AD
681     2728     297     50     334     384     AD
682     2744     299     180     203     383     AD
684     2844     333     131     220     351     AD
684     2834     330     62     292     354     AD
========================= Earth Win =========================
======================================== For Earth Army ===========================
total number of ES---> 308
total number of ET---> 337
total number of EG---> 284
percentage of destructed ES----> 0
percentage of destructed ET----> 1.18694
percentage of destructed EG----> 0
percentage of total destructed Earth units----> 0.430571
percentage of total Healed units----> 0
Average of Df---> 37
Average of Dd---> 130
Average of Db---> 167
Df/Db % ----> 22.0896
Dd/Db % ----> 77.9104
======================================== For Alien Army ===========================
total number of AS---> 306
total number of AD---> 154
total number of AM---> 296
percentage of destructed AS----> 100
percentage of destructed AD----> 100
percentage of destructed AM----> 100
percentage of total destructed Alien units----> 100.132
Average of Df---> 35
Average of Dd---> 144
Average of Db---> 179
Df/Db % ----> 19.877
Dd/Db % ----> 80.123
======================================== For Bonus =============================
